age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;do_not_disturb;y
55;admin.;married;primary;no;-102;yes;no;cellular;7;jun;499;6;241;5;unknown;0;no
24;admin.;married;secondary;no;-399;yes;no;cellular;19;may;300;4;195;0;success;0;no
71;blue-collar;divorced;secondary;no;-4102;yes;no;cellular;22;jun;205;5;102;0;unknown;0;yes
64;housemaid;married;tertiary;no;4294;yes;no;cellular;28;jan;135;10;368;5;unknown;0;no
70;admin.;married;tertiary;no;1630;yes;no;unknown;28;jul;122;5;325;1;unknown;0;yes
56;self-employed;divorced;tertiary;no;-4002;no;no;cellular;20;feb;534;8;180;3;unknown;0;no
74;entrepreneur;married;unknown;no;5005;no;yes;cellular;8;aug;483;3;181;1;unknown;0;no
86;admin.;married;secondary;no;387;no;no;unknown;24;feb;539;11;304;4;unknown;0;no
59;management;married;secondary;no;757;no;no;cellular;18;apr;591;5;-1;5;unknown;0;yes
49;services;single;primary;no;-3138;no;no;cellular;27;dec;494;4;311;0;unknown;0;no
25;student;married;tertiary;no;2876;no;yes;cellular;22;aug;267;1;313;5;unknown;0;yes
74;unemployed;single;secondary;no;2905;yes;yes;unknown;23;nov;331;10;296;2;failure;0;no
83;management;married;secondary;no;1256;yes;no;cellular;16;jun;83;7;165;2;unknown;0;no
68;management;married;secondary;no;145;yes;no;cellular;23;sep;267;2;181;5;unknown;0;no
80;unemployed;married;tertiary;no;9279;no;no;cellular;9;jun;369;7;397;5;unknown;0;yes
80;admin.;single;tertiary;no;-2210;yes;no;cellular;3;aug;372;3;277;3;unknown;0;no
75;services;married;tertiary;no;-764;yes;no;cellular;7;aug;194;8;303;0;unknown;0;no
54;technician;single;secondary;no;3524;no;no;unknown;16;jan;185;2;180;2;unknown;0;no
25;unemployed;married;secondary;no;-1643;yes;yes;cellular;19;aug;82;8;221;2;failure;0;yes
18;entrepreneur;married;tertiary;no;-1864;no;no;telephone;14;feb;315;2;146;5;unknown;0;yes
32;blue-collar;married;secondary;no;4794;no;yes;unknown;14;aug;118;8;43;0;other;0;yes
49;technician;married;secondary;no;3215;yes;no;cellular;6;feb;353;4;321;5;unknown;0;yes
71;retired;married;secondary;no;2852;yes;no;cellular;24;oct;23;9;205;5;unknown;0;no
50;self-employed;single;secondary;no;1945;yes;no;cellular;7;aug;492;6;207;1;unknown;0;no
19;services;divorced;tertiary;no;-676;no;no;telephone;3;jun;32;2;243;1;unknown;0;no
33;technician;single;secondary;no;641;no;no;cellular;5;dec;515;10;270;5;unknown;0;yes
88;technician;single;tertiary;no;1162;no;no;cellular;1;dec;90;10;341;5;unknown;0;no
89;housemaid;married;tertiary;no;3938;yes;no;cellular;28;apr;340;4;293;2;unknown;0;no
45;technician;single;secondary;no;2677;yes;no;cellular;11;dec;33;5;323;4;unknown;0;no
75;unemployed;married;primary;no;-1383;no;no;cellular;23;jun;218;1;282;5;other;0;yes
69;student;single;secondary;no;3768;no;no;cellular;14;may;435;8;374;5;unknown;0;yes
85;entrepreneur;divorced;secondary;no;-3635;yes;no;unknown;26;dec;400;5;44;1;unknown;0;no
81;retired;married;secondary;no;438;yes;no;unknown;18;nov;55;2;282;3;unknown;0;yes
63;services;divorced;tertiary;no;-2026;yes;no;unknown;7;nov;97;8;42;0;unknown;0;no
46;admin.;single;primary;no;-1171;yes;yes;cellular;4;jun;94;3;188;3;failure;0;yes
63;technician;married;secondary;no;7179;no;no;cellular;5;aug;138;3;11;0;unknown;0;yes
40;student;divorced;tertiary;no;-3012;no;no;cellular;17;dec;53;11;161;0;unknown;1;no
43;technician;married;tertiary;no;-1057;yes;no;cellular;1;jan;49;9;148;2;unknown;0;no
61;admin.;married;secondary;no;2931;yes;no;unknown;23;dec;81;2;187;0;unknown;0;yes
59;housemaid;married;secondary;no;-10;yes;no;telephone;9;dec;178;7;336;1;other;0;no
59;retired;single;secondary;no;1866;yes;yes;cellular;26;jun;213;6;116;3;unknown;0;yes
45;management;married;secondary;no;5688;yes;no;unknown;4;jan;217;2;38;5;other;0;yes
47;entrepreneur;divorced;secondary;no;3363;yes;no;cellular;26;may;60;2;51;1;unknown;0;yes
18;blue-collar;married;secondary;no;-6;yes;no;unknown;25;feb;104;10;319;3;failure;0;yes
61;student;married;secondary;no;998;no;no;cellular;15;sep;156;2;98;2;failure;0;no
59;blue-collar;single;secondary;no;2991;no;no;unknown;14;may;383;7;146;3;success;0;no
85;entrepreneur;married;secondary;no;3304;no;yes;unknown;26;may;84;11;275;0;unknown;0;no
54;self-employed;single;secondary;no;1462;yes;no;cellular;23;jul;115;5;353;4;unknown;0;yes
51;blue-collar;married;secondary;no;2481;yes;no;cellular;16;aug;155;8;26;3;unknown;0;no
22;management;divorced;secondary;no;2484;yes;no;cellular;10;feb;132;5;306;3;unknown;0;no
32;student;single;secondary;yes;1123;yes;no;unknown;3;jun;103;7;152;0;unknown;0;no
42;services;married;unknown;no;-415;yes;no;cellular;27;feb;140;4;204;5;unknown;0;no
45;admin.;married;secondary;no;3627;yes;no;unknown;28;jul;43;3;65;1;unknown;0;yes
44;unemployed;married;secondary;no;2275;no;no;unknown;25;apr;204;7;44;0;unknown;0;no
46;student;divorced;secondary;no;-4842;no;no;cellular;1;may;303;2;273;0;failure;0;no
73;admin.;single;tertiary;yes;-1077;no;no;cellular;13;mar;112;7;247;4;success;0;no
27;self-employed;married;secondary;no;-42;no;no;cellular;9;oct;322;7;129;0;unknown;0;no
41;self-employed;married;secondary;no;796;no;no;cellular;13;apr;158;11;141;5;unknown;0;no
29;student;divorced;tertiary;no;5011;no;no;cellular;2;aug;167;3;206;3;unknown;0;yes
40;retired;married;primary;no;11006;no;no;cellular;16;aug;158;2;171;1;unknown;0;yes
67;services;single;secondary;no;-5976;yes;yes;cellular;16;sep;181;3;333;0;unknown;0;no
21;blue-collar;single;secondary;no;2313;no;no;cellular;7;jan;55;9;82;0;unknown;0;no
42;technician;married;unknown;no;1608;no;no;cellular;16;oct;145;5;208;4;unknown;0;no
19;self-employed;married;tertiary;no;858;yes;no;cellular;16;aug;443;2;258;2;unknown;0;yes
86;entrepreneur;married;primary;no;3028;yes;yes;cellular;18;oct;262;3;115;4;unknown;0;yes
70;blue-collar;married;tertiary;no;1849;no;no;telephone;7;sep;111;9;74;2;unknown;0;no
35;blue-collar;divorced;tertiary;no;315;no;no;cellular;4;jul;432;11;236;1;success;0;no
32;entrepreneur;single;secondary;no;1487;yes;yes;cellular;10;sep;792;2;154;5;unknown;0;no
25;blue-collar;single;secondary;no;3069;yes;no;unknown;1;apr;80;7;389;2;unknown;0;no
52;self-employed;married;primary;no;2784;yes;yes;unknown;20;may;212;11;78;5;failure;0;yes
72;student;married;secondary;no;1965;yes;no;cellular;8;may;353;1;224;1;unknown;0;yes
60;student;single;secondary;no;-350;yes;no;unknown;9;may;106;2;164;3;unknown;0;no
81;unemployed;married;tertiary;no;9857;yes;yes;cellular;2;jul;85;6;133;1;unknown;0;no
42;housemaid;married;secondary;no;2478;yes;no;telephone;15;sep;410;1;225;1;unknown;0;yes
38;management;married;secondary;no;3687;yes;no;cellular;1;mar;209;7;306;4;unknown;0;no
52;admin.;single;secondary;no;-123;no;no;cellular;14;apr;81;8;114;0;success;0;no
32;retired;single;secondary;no;1968;yes;yes;unknown;8;oct;108;4;245;3;success;0;no
88;self-employed;married;primary;no;1944;yes;yes;cellular;18;oct;285;11;332;2;unknown;0;yes
31;technician;divorced;secondary;no;-4335;yes;no;cellular;28;mar;60;10;386;5;success;0;no
52;unemployed;married;primary;no;-749;no;no;unknown;16;feb;16;8;248;0;success;0;yes
55;services;married;secondary;no;-805;yes;no;cellular;23;may;28;6;57;5;unknown;0;yes
22;retired;married;secondary;no;-401;no;no;cellular;6;feb;152;2;335;5;success;0;no
51;technician;single;tertiary;no;-1809;yes;no;cellular;11;aug;0;3;395;1;unknown;0;yes
50;housemaid;married;primary;no;1531;yes;no;telephone;23;sep;30;11;379;3;unknown;0;no
36;housemaid;married;secondary;no;5592;no;no;telephone;11;sep;408;6;277;4;unknown;0;no
27;housemaid;married;secondary;no;1791;yes;yes;cellular;26;may;253;5;42;5;unknown;0;yes
21;entrepreneur;single;primary;no;-2143;yes;yes;cellular;27;may;223;8;243;2;unknown;0;yes
18;services;single;primary;no;-1692;yes;no;cellular;21;jun;307;3;67;1;unknown;0;no
52;blue-collar;married;secondary;no;268;yes;no;cellular;19;oct;8;4;302;2;unknown;0;yes
24;technician;divorced;secondary;no;-2846;no;yes;cellular;10;dec;292;5;14;1;unknown;0;yes
87;retired;married;unknown;no;2313;no;no;cellular;24;nov;305;10;55;3;other;0;no
35;blue-collar;married;primary;no;5459;no;no;telephone;28;may;15;6;276;5;unknown;0;no
64;entrepreneur;single;tertiary;no;-327;yes;no;unknown;25;feb;339;1;98;3;unknown;0;yes
66;technician;single;tertiary;no;1628;yes;no;cellular;10;jan;267;6;30;4;unknown;0;yes
53;housemaid;married;secondary;no;113;no;yes;cellular;5;nov;272;4;42;5;unknown;0;no
81;blue-collar;single;secondary;no;-488;yes;no;cellular;26;dec;553;6;118;5;other;0;yes
25;self-employed;married;unknown;no;1968;no;no;cellular;1;jul;244;11;193;5;failure;0;yes
34;blue-collar;single;secondary;no;-589;no;no;cellular;23;jan;35;4;284;2;unknown;1;yes
36;unemployed;single;tertiary;no;-1025;yes;no;cellular;8;jun;246;3;202;2;unknown;0;no
27;entrepreneur;divorced;secondary;no;-3457;no;no;cellular;22;sep;222;6;164;1;unknown;0;yes
39;self-employed;married;tertiary;no;1593;yes;no;cellular;17;oct;1;1;360;4;unknown;0;no
40;technician;single;unknown;no;4601;no;yes;unknown;4;oct;184;3;309;3;other;1;yes
73;blue-collar;single;tertiary;no;3521;yes;no;cellular;26;oct;206;1;173;5;unknown;0;yes
39;admin.;married;secondary;no;5875;no;no;cellular;27;feb;408;10;399;5;unknown;0;no
81;blue-collar;married;tertiary;no;-623;yes;no;cellular;9;sep;410;9;285;4;unknown;0;no
73;housemaid;divorced;primary;no;3952;yes;no;unknown;5;dec;276;2;142;5;unknown;0;yes
82;self-employed;married;secondary;no;-1907;no;no;unknown;24;may;534;4;158;4;success;1;no
25;management;single;secondary;no;3527;yes;no;cellular;13;jul;254;2;24;0;unknown;0;yes
88;retired;married;secondary;no;6332;yes;no;cellular;19;apr;180;9;317;3;unknown;0;no
62;unemployed;single;secondary;no;2895;yes;yes;cellular;24;oct;260;2;239;4;unknown;0;no
88;retired;married;primary;no;6385;no;yes;cellular;19;may;73;8;41;4;unknown;0;no
43;technician;divorced;secondary;no;-396;yes;no;cellular;14;dec;33;7;55;2;unknown;0;yes
86;management;single;primary;no;997;no;no;cellular;21;jul;24;9;36;0;unknown;0;yes
60;retired;married;secondary;no;-1347;no;no;cellular;3;may;124;10;58;2;unknown;0;no
23;blue-collar;single;tertiary;no;1504;no;yes;telephone;15;jul;393;11;124;1;unknown;0;yes
47;student;single;tertiary;no;2209;no;no;unknown;17;jan;69;4;301;4;unknown;1;no
27;blue-collar;married;tertiary;no;1478;no;no;cellular;19;dec;25;9;398;2;unknown;0;no
85;retired;married;tertiary;no;-22;yes;no;telephone;7;jun;381;2;165;5;success;0;yes
39;entrepreneur;single;secondary;no;-72;no;no;unknown;23;jun;148;2;210;5;other;0;yes
34;housemaid;single;secondary;no;2435;yes;yes;cellular;10;may;180;10;212;4;unknown;0;no
57;retired;married;secondary;no;922;yes;no;cellular;17;aug;145;10;258;1;unknown;0;no
48;blue-collar;divorced;primary;no;-2055;yes;no;telephone;20;oct;606;8;273;2;unknown;0;no
24;services;married;secondary;no;-4291;yes;no;cellular;2;aug;332;4;33;0;unknown;0;yes
76;self-employed;married;tertiary;no;-386;yes;yes;unknown;27;feb;270;5;226;0;unknown;0;yes
78;self-employed;single;secondary;no;-2746;yes;no;cellular;15;sep;259;9;152;2;failure;0;no
71;technician;married;tertiary;no;-1106;no;no;unknown;1;aug;301;3;322;1;failure;1;yes
62;management;married;primary;no;130;no;no;cellular;17;dec;589;6;371;2;other;0;no
46;services;married;tertiary;no;961;yes;no;unknown;8;apr;145;5;137;4;unknown;0;yes
57;student;married;secondary;no;-598;yes;no;cellular;25;oct;253;2;225;5;unknown;0;yes
55;admin.;married;tertiary;no;7973;yes;no;cellular;5;nov;225;7;97;0;other;0;yes
29;services;single;secondary;no;-2383;yes;no;cellular;1;jan;400;8;17;2;unknown;1;yes
23;management;married;secondary;no;5027;no;no;cellular;21;nov;560;3;52;1;unknown;0;yes
36;unemployed;single;secondary;no;912;yes;no;cellular;2;oct;102;8;339;3;unknown;0;yes
50;services;single;secondary;no;-572;yes;no;cellular;6;oct;310;11;124;1;unknown;0;no
29;blue-collar;married;secondary;no;3162;yes;no;cellular;11;dec;255;10;37;5;unknown;0;yes
25;housemaid;married;secondary;no;41;yes;no;cellular;25;mar;58;11;90;3;success;0;yes
79;self-employed;single;secondary;no;-1020;yes;no;cellular;23;jan;414;5;245;5;unknown;0;no
44;technician;married;tertiary;no;6769;no;no;cellular;17;aug;532;8;166;3;unknown;0;no
60;technician;married;secondary;no;-5183;no;no;unknown;14;aug;383;9;55;5;unknown;0;yes
55;technician;single;secondary;no;665;yes;no;telephone;19;nov;93;11;185;2;unknown;0;yes
70;student;single;tertiary;no;1970;no;no;cellular;9;aug;51;6;348;4;unknown;0;no
71;entrepreneur;single;secondary;no;5624;no;no;unknown;25;feb;348;10;180;2;unknown;1;no
39;blue-collar;married;tertiary;no;204;yes;yes;unknown;20;jul;4;7;389;2;unknown;0;yes
79;housemaid;married;secondary;no;9383;no;no;cellular;17;may;24;10;143;2;other;0;yes
44;unemployed;married;secondary;no;3677;no;yes;cellular;15;nov;261;4;99;4;unknown;0;no
78;services;single;primary;no;-5701;no;yes;cellular;18;sep;367;1;232;4;unknown;0;yes
47;blue-collar;married;primary;no;-2961;yes;yes;cellular;17;oct;152;4;338;3;unknown;0;no
25;entrepreneur;married;secondary;no;2110;no;no;unknown;20;sep;178;4;322;1;success;0;no
72;admin.;married;tertiary;no;-2031;no;no;cellular;12;mar;197;9;361;2;unknown;1;yes
20;unemployed;single;primary;no;3043;no;no;cellular;9;nov;36;8;15;3;unknown;0;no
73;blue-collar;single;tertiary;no;38;yes;yes;cellular;21;feb;143;7;302;3;success;0;no
21;admin.;married;secondary;no;-2188;yes;no;cellular;9;apr;103;3;7;2;unknown;0;yes
32;services;married;secondary;no;-1493;no;no;unknown;1;feb;367;8;309;5;unknown;0;yes
61;retired;married;tertiary;no;3955;no;no;unknown;3;feb;777;8;101;0;unknown;0;no
85;management;married;tertiary;no;-4668;no;no;unknown;1;nov;232;11;278;0;unknown;0;no
47;management;married;secondary;no;4535;yes;no;cellular;15;feb;458;3;151;1;unknown;0;yes
26;entrepreneur;married;secondary;no;4623;yes;yes;telephone;20;feb;167;8;22;5;unknown;0;yes
34;retired;single;primary;no;405;no;no;unknown;9;feb;49;1;274;1;other;0;no
82;blue-collar;single;secondary;no;-2813;no;no;telephone;1;aug;670;9;138;4;other;0;no
70;housemaid;divorced;tertiary;no;3067;yes;no;unknown;18;mar;50;9;56;5;unknown;1;no
25;technician;divorced;secondary;no;-59;no;no;cellular;10;sep;409;9;118;1;failure;0;yes
45;management;married;tertiary;no;-3145;yes;yes;cellular;23;apr;263;5;69;5;unknown;0;no
37;admin.;married;secondary;no;7127;yes;no;cellular;11;mar;457;5;78;2;other;0;yes
30;student;married;secondary;no;-1253;yes;no;unknown;19;feb;206;1;171;2;unknown;0;yes
78;services;single;secondary;no;-3016;yes;no;cellular;18;mar;12;6;180;2;failure;0;yes
62;self-employed;married;secondary;no;2255;no;no;unknown;8;mar;87;8;128;1;unknown;0;yes
30;services;married;secondary;no;1196;yes;no;cellular;22;nov;690;11;99;2;failure;0;yes
64;management;married;unknown;no;5858;no;no;telephone;23;jul;283;2;329;0;failure;1;no
47;unemployed;married;tertiary;no;258;yes;no;telephone;24;jun;655;7;207;0;success;0;no
22;self-employed;single;tertiary;no;290;no;no;cellular;9;nov;146;3;88;1;unknown;0;no
50;technician;single;primary;no;2405;yes;no;cellular;8;jun;362;5;189;1;failure;0;no
31;services;married;tertiary;no;1998;yes;no;cellular;9;nov;36;9;398;2;unknown;0;yes
35;self-employed;divorced;tertiary;no;2090;no;no;unknown;5;may;225;1;-1;2;unknown;0;no
81;management;married;tertiary;no;2215;no;yes;cellular;25;dec;664;1;368;3;unknown;0;yes
69;services;married;secondary;no;1893;no;no;cellular;28;mar;63;3;47;0;failure;0;yes
27;housemaid;married;primary;no;150;yes;no;unknown;24;jul;81;3;96;4;unknown;0;no
79;technician;single;tertiary;no;3898;yes;no;cellular;2;jun;385;9;232;0;failure;0;yes
59;self-employed;single;secondary;no;320;yes;no;cellular;27;nov;242;3;82;1;unknown;1;yes
80;self-employed;married;secondary;no;3813;yes;no;unknown;23;apr;599;11;391;5;unknown;0;no
71;self-employed;divorced;secondary;no;5563;yes;no;unknown;2;may;171;11;292;5;unknown;0;no
42;management;married;secondary;no;-632;no;no;cellular;1;apr;233;9;227;3;unknown;0;no
56;technician;married;secondary;no;8613;no;no;unknown;8;aug;283;6;152;1;unknown;0;yes
56;retired;single;tertiary;no;-737;yes;no;telephone;14;mar;4;9;371;5;unknown;0;yes
69;management;divorced;secondary;no;-716;no;no;cellular;10;jun;39;2;139;5;unknown;0;no
35;student;single;secondary;no;3019;no;no;cellular;18;aug;57;10;396;3;other;0;no
41;unemployed;divorced;primary;no;2724;yes;yes;unknown;20;mar;441;4;395;1;failure;0;no
35;student;married;tertiary;no;1615;no;no;telephone;14;apr;202;5;271;2;unknown;0;no
39;housemaid;single;secondary;no;3854;no;no;cellular;11;feb;40;10;277;0;unknown;0;no
29;entrepreneur;single;secondary;no;2157;yes;no;cellular;16;feb;112;2;233;4;other;0;yes
20;technician;married;secondary;no;7597;yes;no;cellular;3;dec;424;2;380;5;unknown;0;no
85;admin.;married;secondary;no;1240;yes;no;cellular;1;oct;30;7;229;3;unknown;0;yes
23;admin.;divorced;secondary;no;-1163;yes;no;cellular;23;mar;357;11;378;3;unknown;0;no
81;unemployed;married;primary;no;-255;no;no;unknown;5;jul;96;11;75;3;unknown;0;no
18;services;married;tertiary;no;2813;yes;no;cellular;28;feb;82;11;168;1;unknown;0;no
73;student;divorced;primary;no;2857;yes;no;cellular;16;nov;568;5;61;0;unknown;0;no
41;technician;divorced;unknown;no;2019;no;no;cellular;15;oct;134;7;-1;1;success;0;yes
55;student;divorced;secondary;no;-1148;no;no;unknown;24;oct;477;9;115;1;unknown;0;yes
38;entrepreneur;divorced;primary;no;4725;no;no;cellular;6;apr;691;3;374;4;unknown;0;yes
53;technician;married;secondary;no;7210;no;no;cellular;16;may;136;10;128;0;unknown;0;no
50;admin.;divorced;secondary;no;1487;no;no;cellular;14;nov;86;10;327;5;other;0;yes
56;retired;married;unknown;no;6831;no;yes;cellular;14;jul;212;1;106;0;unknown;0;yes
46;management;single;tertiary;no;3998;yes;no;unknown;26;jul;278;6;271;3;unknown;0;yes
56;management;married;secondary;no;8056;yes;no;cellular;28;dec;295;5;72;5;unknown;0;no
77;blue-collar;single;secondary;no;2817;yes;no;cellular;12;oct;374;9;189;1;unknown;0;no
49;technician;single;unknown;no;1809;yes;no;unknown;11;may;498;5;300;4;other;0;no
44;technician;single;secondary;no;3927;yes;no;cellular;8;jan;14;11;353;0;failure;0;no
27;entrepreneur;married;secondary;no;99;yes;no;cellular;11;mar;594;5;145;1;unknown;1;no
43;student;married;secondary;no;2621;yes;no;cellular;13;oct;163;6;229;5;unknown;0;yes
27;management;married;secondary;no;5392;no;no;unknown;3;feb;292;3;230;1;unknown;0;yes
31;student;married;tertiary;no;3858;yes;no;unknown;7;apr;206;10;175;3;unknown;1;no
86;management;single;secondary;no;1307;yes;no;cellular;22;dec;65;6;155;2;unknown;0;no
24;management;married;tertiary;no;2001;no;no;cellular;21;jun;19;6;372;1;failure;0;no
52;admin.;single;secondary;no;3673;yes;no;cellular;2;mar;262;8;172;1;unknown;0;no
78;retired;married;secondary;no;3573;yes;no;cellular;25;jul;27;9;293;3;failure;0;no
86;blue-collar;married;secondary;no;3650;yes;no;cellular;4;dec;175;8;166;3;unknown;0;yes
28;entrepreneur;single;tertiary;no;2418;no;no;cellular;5;mar;137;2;211;4;unknown;0;no
29;technician;married;secondary;no;-1073;no;no;cellular;2;aug;147;11;227;1;unknown;0;no
44;services;married;tertiary;no;-595;yes;no;cellular;5;oct;139;10;72;2;unknown;0;no
57;retired;married;secondary;no;2783;no;yes;cellular;6;aug;413;9;88;2;failure;0;yes
87;admin.;married;tertiary;no;3894;no;yes;unknown;25;nov;387;7;270;1;unknown;0;yes
32;technician;single;tertiary;no;3505;no;no;cellular;13;may;445;9;393;5;unknown;0;no
29;unemployed;married;tertiary;no;-625;no;no;unknown;6;oct;292;8;269;1;unknown;0;no
36;student;married;secondary;no;946;no;no;cellular;2;may;303;4;238;2;unknown;0;no
80;unemployed;single;tertiary;no;-2122;yes;no;cellular;7;jan;263;6;399;3;unknown;0;no
20;technician;married;secondary;no;-2774;yes;no;cellular;12;apr;44;1;276;5;unknown;0;yes
45;student;single;primary;no;1644;yes;yes;unknown;13;feb;399;1;353;0;unknown;0;yes
26;blue-collar;married;tertiary;no;5474;yes;yes;unknown;14;sep;447;6;134;3;other;0;no
29;entrepreneur;divorced;tertiary;no;1699;no;no;cellular;6;may;431;9;323;0;unknown;0;yes
84;services;married;primary;no;7124;yes;no;cellular;4;sep;568;9;343;2;unknown;0;no
18;unemployed;married;tertiary;no;907;yes;no;cellular;14;sep;420;10;327;5;unknown;0;no
41;admin.;divorced;secondary;no;1493;no;no;cellular;2;jul;53;5;143;3;unknown;0;no
83;unemployed;single;tertiary;no;-1573;yes;no;cellular;25;dec;223;6;295;5;unknown;0;yes
61;services;single;tertiary;no;358;yes;no;unknown;9;jun;297;9;332;4;unknown;0;yes
23;student;divorced;tertiary;no;-2169;yes;no;telephone;19;sep;523;1;235;1;unknown;0;no
51;admin.;married;tertiary;no;-3236;yes;yes;unknown;19;aug;169;7;86;5;unknown;0;no
87;entrepreneur;single;unknown;no;-2118;yes;no;cellular;2;sep;93;5;69;4;unknown;0;no
46;technician;single;secondary;no;1655;yes;no;cellular;18;jun;110;4;333;0;unknown;1;yes
56;entrepreneur;married;secondary;no;-810;no;no;cellular;18;jun;394;7;67;4;other;1;yes
56;blue-collar;married;secondary;no;-99;yes;no;unknown;4;oct;261;4;380;3;failure;0;no
65;student;married;tertiary;no;2629;no;no;cellular;17;nov;46;7;234;5;unknown;0;yes
31;entrepreneur;divorced;primary;no;-3246;yes;no;cellular;3;jan;374;8;76;4;unknown;0;no
78;retired;married;tertiary;no;1643;yes;no;cellular;13;dec;151;6;78;0;unknown;0;no
89;admin.;married;secondary;no;3944;yes;no;cellular;6;nov;44;7;7;2;unknown;0;yes
28;unemployed;single;tertiary;no;4203;no;no;cellular;10;aug;486;5;235;4;unknown;0;yes
76;retired;single;secondary;no;2949;no;no;cellular;25;jul;192;1;328;3;failure;0;no
76;admin.;married;tertiary;no;1243;yes;no;unknown;26;jun;248;4;293;0;unknown;0;yes
71;unemployed;single;unknown;no;-471;no;no;telephone;27;jul;197;7;230;0;unknown;0;no
44;services;married;secondary;no;1152;yes;no;unknown;27;mar;107;4;233;1;unknown;0;yes
51;services;single;tertiary;yes;6360;no;no;unknown;15;may;285;1;93;1;unknown;0;yes
78;admin.;married;secondary;no;2219;no;no;cellular;25;dec;81;6;327;3;unknown;0;no
29;retired;married;tertiary;no;1079;yes;no;cellular;26;jul;556;7;211;2;unknown;0;no
77;services;single;tertiary;no;3091;yes;no;cellular;8;may;420;10;332;1;unknown;0;yes
84;admin.;married;secondary;no;1549;yes;yes;cellular;4;mar;264;11;393;2;unknown;0;no
67;retired;married;primary;no;2077;no;no;unknown;12;oct;278;7;351;1;unknown;0;yes
42;services;married;secondary;no;659;yes;no;unknown;19;jun;108;2;376;4;unknown;0;yes
58;technician;single;primary;no;155;yes;no;cellular;4;jul;93;9;298;0;failure;0;yes
21;blue-collar;divorced;tertiary;no;4388;no;no;cellular;19;may;462;6;118;5;unknown;0;no
85;admin.;single;secondary;no;-4451;yes;no;cellular;10;jan;255;7;110;4;unknown;0;yes
42;student;divorced;tertiary;no;2835;no;no;cellular;13;apr;283;9;273;0;unknown;0;no
22;blue-collar;divorced;unknown;no;-30;yes;no;cellular;11;aug;423;7;92;3;unknown;0;yes
75;student;married;tertiary;no;-4315;no;no;unknown;21;mar;546;5;201;2;unknown;0;no
65;self-employed;married;secondary;no;-1523;no;no;cellular;10;jul;511;10;275;3;unknown;0;no
62;student;divorced;secondary;no;1291;yes;no;unknown;14;nov;329;4;110;2;unknown;0;no
21;blue-collar;divorced;tertiary;no;1704;yes;no;cellular;18;mar;165;8;37;1;unknown;0;yes
72;retired;divorced;tertiary;no;3620;yes;no;cellular;24;nov;306;7;52;5;unknown;1;yes
63;entrepreneur;single;unknown;no;3824;no;no;cellular;13;feb;213;10;277;1;failure;0;no
75;admin.;married;secondary;no;-3240;yes;no;cellular;4;jun;377;10;45;4;failure;0;yes
77;self-employed;divorced;primary;no;2532;no;yes;cellular;16;aug;106;3;314;3;unknown;0;yes
33;management;divorced;unknown;no;3585;no;no;cellular;1;mar;400;10;3;5;unknown;0;no
33;admin.;single;tertiary;no;2056;no;no;cellular;19;mar;229;7;305;2;unknown;0;no
84;services;divorced;secondary;no;2907;yes;no;cellular;11;jun;297;3;253;3;other;0;no
56;services;single;tertiary;no;-4397;yes;no;cellular;19;jan;19;7;100;5;unknown;0;no
49;admin.;divorced;primary;no;-1570;yes;yes;cellular;4;dec;165;11;103;3;success;0;no
38;entrepreneur;married;secondary;no;5498;yes;no;telephone;14;apr;309;7;207;2;failure;0;yes
64;technician;divorced;secondary;no;560;yes;no;cellular;6;oct;183;2;231;5;unknown;0;no
72;self-employed;married;secondary;no;8069;yes;yes;cellular;16;apr;249;6;334;5;unknown;1;no
18;retired;married;secondary;no;-2435;no;no;unknown;2;oct;26;3;301;0;unknown;0;yes
57;entrepreneur;married;secondary;no;6091;yes;no;cellular;15;mar;288;3;204;1;failure;0;yes
89;management;married;secondary;no;-432;yes;no;unknown;13;sep;520;8;-1;5;failure;0;yes
38;technician;married;secondary;no;3987;yes;no;cellular;4;sep;173;2;368;5;other;0;no
38;technician;divorced;secondary;no;513;no;no;telephone;21;sep;122;10;173;2;unknown;0;no
81;entrepreneur;single;secondary;no;1747;no;no;cellular;24;jan;430;10;338;2;failure;0;no
22;entrepreneur;divorced;tertiary;no;3186;no;no;telephone;16;feb;222;3;104;5;unknown;0;yes
46;services;married;secondary;no;-440;yes;yes;telephone;15;nov;368;4;142;0;unknown;0;yes
50;management;married;secondary;no;3803;no;no;cellular;10;may;160;4;243;0;unknown;0;yes
75;student;single;primary;no;602;no;no;cellular;8;oct;138;1;290;3;unknown;0;yes
27;self-employed;single;tertiary;no;1934;yes;no;telephone;1;oct;384;1;52;0;unknown;0;no
49;retired;married;tertiary;no;-6535;yes;no;cellular;14;sep;354;9;316;1;unknown;0;no
28;services;single;unknown;no;387;no;no;cellular;15;mar;155;6;225;0;unknown;0;no
74;management;single;unknown;no;5190;yes;no;cellular;1;may;4;3;324;5;failure;0;no
63;blue-collar;single;secondary;no;3484;yes;no;cellular;10;jan;113;6;231;0;other;0;yes
53;unemployed;divorced;tertiary;no;4059;yes;no;telephone;16;jan;87;3;216;5;failure;0;yes
46;services;single;secondary;no;1559;no;yes;cellular;7;nov;93;7;253;0;unknown;0;no
29;admin.;single;tertiary;no;6428;yes;no;cellular;17;jun;283;2;199;5;unknown;0;no
84;blue-collar;married;unknown;no;2265;no;no;cellular;13;oct;113;3;35;1;unknown;0;yes
